=== COORDINATES SHEET: 598 rows x 5 cols ===
B4 | VALUE | ?
C4 | FORMULA | =XM_Pinion
E4 | FORMULA | =XM_Wheel
B5 | VALUE | ID
C5 | VALUE | X
D5 | VALUE | Y
E5 | VALUE | X
B6 | VALUE | 1
C6 | VALUE | 0
D6 | VALUE | 87.47377
E6 | VALUE | 0
B7 | VALUE | 2
C7 | VALUE | 0.506467
D7 | VALUE | 87.47231
E7 | VALUE | 0.537315
B8 | VALUE | 3
C8 | VALUE | 1.012917
D8 | VALUE | 87.46791
E8 | VALUE | 1.074626
B9 | VALUE | 4
C9 | VALUE | 1.519333
D9 | VALUE | 87.46058
E9 | VALUE | 1.611931
B10 | VALUE | 5
C10 | VALUE | 2.025698
D10 | VALUE | 87.45031
E10 | VALUE | 2.149225
B11 | VALUE | 6
C11 | VALUE | 2.235595
D11 | VALUE | 87.0354
E11 | VALUE | 2.327995
B12 | VALUE | 7
C12 | VALUE | 2.43926
D12 | VALUE | 86.62048
E12 | VALUE | 2.503672
B13 | VALUE | 8
C13 | VALUE | 2.636951
D13 | VALUE | 86.20557
E13 | VALUE | 2.677952
B14 | VALUE | 9
C14 | VALUE | 2.829088
D14 | VALUE | 85.79065
E14 | VALUE | 2.848205
B15 | VALUE | 10
C15 | VALUE | 3.014841
D15 | VALUE | 85.37574
E15 | VALUE | 3.017124
B16 | VALUE | 11
C16 | VALUE | 3.194676
D16 | VALUE | 84.96082
E16 | VALUE | 3.183058
B17 | VALUE | 12
C17 | VALUE | 3.3686
D17 | VALUE | 84.54591
E17 | VALUE | 3.346391
B18 | VALUE | 13
C18 | VALUE | 3.536002
D18 | VALUE | 84.13099
E18 | VALUE | 3.50817
B19 | VALUE | 14
C19 | VALUE | 3.697546
D19 | VALUE | 83.71608
E19 | VALUE | 3.665875
B20 | VALUE | 15
C20 | VALUE | 3.852371
D20 | VALUE | 83.30117
E20 | VALUE | 3.821906
B21 | VALUE | 16
C21 | VALUE | 4.000975
D21 | VALUE | 82.88625
E21 | VALUE | 3.975538
B22 | VALUE | 17
C22 | VALUE | 4.143063
D22 | VALUE | 82.47134
E22 | VALUE | 4.125751
B23 | VALUE | 18
C23 | VALUE | 4.278159
D23 | VALUE | 82.05642
E23 | VALUE | 4.274098
B24 | VALUE | 19
C24 | VALUE | 4.406574
D24 | VALUE | 81.64151
E24 | VALUE | 4.419665
B25 | VALUE | 20
C25 | VALUE | 4.527989
D25 | VALUE | 81.22659
E25 | VALUE | 4.562031
B26 | VALUE | 21
C26 | VALUE | 4.642089
D26 | VALUE | 80.81168
E26 | VALUE | 4.702316
B27 | VALUE | 22
C27 | VALUE | 4.748557
D27 | VALUE | 80.39676
E27 | VALUE | 4.839917
B28 | VALUE | 23
C28 | VALUE | 4.847074
D28 | VALUE | 79.98185
E28 | VALUE | 4.974056
B29 | VALUE | 24
C29 | VALUE | 4.937322
D29 | VALUE | 79.56693
E29 | VALUE | 5.1059
B30 | VALUE | 25
C30 | VALUE | 5.018978
D30 | VALUE | 79.15202
E30 | VALUE | 5.235334
B31 | VALUE | 26
C31 | VALUE | 5.091135
D31 | VALUE | 78.7371
E31 | VALUE | 5.36116
B32 | VALUE | 27
C32 | VALUE | 5.153576
D32 | VALUE | 78.32219
E32 | VALUE | 5.484185
B33 | VALUE | 28
C33 | VALUE | 5.236372
D33 | VALUE | 77.90727
E33 | VALUE | 5.604588
B34 | VALUE | 29
C34 | VALUE | 5.364006
D34 | VALUE | 77.49236
E34 | VALUE | 5.725157
B35 | VALUE | 30
C35 | VALUE | 5.559051
D35 | VALUE | 77.07744
E35 | VALUE | 5.892864
B36 | VALUE | 31
C36 | VALUE | 5.852584
D36 | VALUE | 76.66253
E36 | VALUE | 6.15803
B37 | VALUE | 32
C37 | VALUE | 6.324087
D37 | VALUE | 76.24761
E37 | VALUE | 6.596484
B38 | VALUE | 33
C38 | VALUE | 6.708452
D38 | VALUE | 76.04016
E38 | VALUE | 6.95868
B39 | VALUE | 34
C39 | VALUE | 7.007357
D39 | VALUE | 75.93643
E39 | VALUE | 7.232343
B40 | VALUE | 35
C40 | VALUE | 7.70372
D40 | VALUE | 75.8327
E40 | VALUE | 8.099244
