=== CALCULATION SHEET: 568 rows x 58 cols ===
Format: CellAddress | TYPE: FORMULA/VALUE | Content | NumberFormat

A1 | VALUE | MC_aw | General
B1 | VALUE | MC_z1 | General
C1 | VALUE | MC_b1 | General
D1 | VALUE | MC_Pitch1 | General
E1 | VALUE | MC_da1 | General
F1 | VALUE | MC_d1 | General
G1 | VALUE | MC_db1 | General
H1 | VALUE | MC_sa1 | General
I1 | VALUE | MC_s1 | General
J1 | VALUE | MC_sb1 | General
K1 | VALUE | MC_z2 | General
L1 | VALUE | MC_b2 | General
M1 | VALUE | MC_Pitch2 | General
N1 | VALUE | MC_da2 | General
O1 | VALUE | MC_d2 | General
P1 | VALUE | MC_db2 | General
Q1 | VALUE | MC_sa2 | General
R1 | VALUE | MC_s2 | General
S1 | VALUE | MC_sb2 | General
J2 | FORMULA | =_sb1_2 | General
L2 | FORMULA | =_b2 | General
M2 | FORMULA | =_Pitch2X | General
O2 | FORMULA | =_dx2 | General
P2 | FORMULA | =_df2 | General
Q2 | FORMULA | =_sa2_2 | General
R2 | FORMULA | =_sx2_2 | General
B3 | VALUE | ul | General
K3 | VALUE | ul | General
A4 | VALUE | Axis distance | m/d/yyyy h:mm
K100 | VALUE | Spur gearing, Helical gearing [mm/ISO] | General
L100 | FORMULA | ="          " & XM_CalcName | General
F101 | VALUE | Calculation without errors. | General
G101 | VALUE | Check lines: | General
J101 | VALUE | i | General
L101 | FORMULA | =IF(E101="",XM_ErrMsg1,XM_ErrMsg2 & E101) | General
O101 | VALUE | Pinion | General
P101 | VALUE | Gear | General
J102 | VALUE | ii | General
L102 | VALUE |      Project information | General
J103 | VALUE | Author | General
M103 | VALUE | Date | General
P103 | VALUE | Project No. | General
V103 | VALUE | Calculation identificator | General
W103 | VALUE | GEARS_01 | General
J104 | VALUE | John Doe | General
M104 | VALUE | 8/8/2018 | m/d/yyyy
P104 | VALUE | 111-111 | General
V104 | VALUE | Current basic info | General
W104 | FORMULA | =XM_0500 & " Beta=" & _beta & ";  mn=" & _mn & ";  b1=" & _b1 & ";  b2=" & _b2& ";  z1=" & _z1 & ";  z2=" & _z2 & ";  n1=" & ROUND(_n1,1) & ";  n2=" & ROUND(_n2,1) & ";  i=" & ROUND(_i,2)& ";  P=" & ROUND(_Pw1,2) & " [kW]" | General
J105 | VALUE | File name | General
W105 | VALUE | Spur gearing: | General
J106 | VALUE | Gear1_01.xls | General
J107 | VALUE | Project Name | General
J108 | VALUE | Spur Gear | General
J109 | VALUE | Basic Info | General
J110 | VALUE | Spur gearing: Beta=0;  mn=6;  b1=120;  b2=117;  z1=19;  z2=48;  n1=1000;  n2=395.8;  i=2.53;  P=100 [kW] | General
J111 | VALUE | Project Notes | General
J112 | VALUE | Comments | General
J115 | VALUE | ? | General
L115 | VALUE | Input section | General
J116 | VALUE | 1.0 | General
L116 | VALUE |      Options of basic input parameters | General
J117 | VALUE | 1.1 | General
L117 | VALUE | Transferred power | General
M117 | FORMULA | =IF(S_Units,"Pw [kW]","Pw [HP]") | General
O117 | VALUE | 100.000 | 0.000
P117 | FORMULA | =_Pw1*_eta | 0.000
U117 | VALUE | Circular constant | General
J118 | VALUE | 1.2 | General
L118 | VALUE | Speed (Pinion / Gear) | General
M118 | VALUE | n [/min] | General
O118 | VALUE | 1000.00 | 0.00
P118 | FORMULA | =_n1/_i | 0.0
R118 | VALUE | [/min] | General
J119 | VALUE | 1.3 | General
L119 | VALUE | Torsional moment (Pinion / Gear) | General
M119 | VALUE | Mk [Nm] | General
O119 | FORMULA | =_Pw1*9550/_n1 | 0.00
P119 | FORMULA | =_Mk1*_i*_eta | 0.00
R119 | VALUE | [Nm] | General
J120 | VALUE | 1.4 | General
L120 | VALUE | Transmission ratio / from table | General
M120 | VALUE | i | General
O120 | VALUE | 2.500 | 0.000
U120 | VALUE | Transmition ratio from table | General
J121 | VALUE | 1.5 | General
L121 | VALUE | Actual transmission ratio / deviation | General
M121 | VALUE | i | General
O121 | FORMULA | =_z2/_z1 | 0.000
P121 | FORMULA | =(_i-_iin)/_i | 0.00%
J123 | VALUE | 2.0 | General
L123 | VALUE |      Options of material, loading conditions, operational and production parameters | General
J124 | VALUE | 2.1 | General
L124 | FORMULA | =XM_MatIDStd | General
J125 | VALUE | 2.2 | General
L125 | VALUE | Material of the pinion : | General
U125 | VALUE | Support calculation for yd | General
J126 | VALUE | 2.3 | General
L126 | VALUE | Material of the gear : | General
U126 | VALUE | Type mat 1 | General
J127 | VALUE | 2.4 | General
L127 | VALUE | Loading of the gearbox, driving machine - examples | General
U127 | VALUE | Type mat 2 | General
J128 | VALUE | 2.5 | General
L128 | VALUE | Loading of gearbox, driven machine - examples | General
U128 | VALUE | Sumary | General
J129 | VALUE | 2.6 | General
L129 | VALUE | Type of gearing mounting | General
U129 | VALUE | Assembly type | General
J130 | VALUE | 2.7 | General
L130 | VALUE | Accuracy grade - ISO1328 |Ra max|v max | General
U130 | VALUE | Accuracy grade | General
J131 | VALUE | 2.8 | General
L131 | VALUE | Coefficient of one-off overloading | General
M131 | VALUE | KAS | General
O131 | VALUE | 2.00 | 0.00
J132 | VALUE | 2.9 | General
L132 | VALUE | Desired service life | General
M132 | VALUE | Lh | General
