R115 | [?    ] | Phần nhập dữ liệu                                       |            | P:             | Q:             | 
R116 | [1    ] | Nhập các thông số đầu vào cơ bản                        |            | P:             | Q:             | 
R117 | [1.1  ] | Công suất truyền động                                   |            | P:99.489       | Q:             | 
R118 | [1.2  ] | Tốc độ (BR chủ động/BR bị động)                         |            | P:-400.00      | Q:             | 
R119 | [1.3  ] | Moment xoắn (BR chủ động/BR bị động)                    |            | P:-2375.30     | Q:             | 
R120 | [1.4  ] | Tỷ số truyền động / Nhập từ bảng                        |            | P:             | Q:             | 
R121 | [1.5  ] | Tỷ số truyền động làm việc / hiệu suất                  |            | P:0.00%        | Q:             | 
R123 | [2    ] | Các thông số về vật liệu, điều kiện tải trọng, làm việc và sản xuất |            | P:             | Q:             | 
R124 | [2.1  ] | Xác định vật liệu từ các tiêu chuẩn :                   |            | P:             | Q:             | 
R125 | [2.1  ] | Vật liệu của BR chủ động :                              |            | P:             | Q:             | 
R126 | [2.2  ] | Vật liệu của BR bị động :                               |            | P:             | Q:             | 
R127 | [2.3  ] | Tải trọng của hộp giảm tốc, máy truyền động -Ví dụ      |            | P:             | Q:             | 
R128 | [2.4  ] | Tải trọng của hộp giảm tốc, máy công tác - Ví dụ        |            | P:             | Q:             | 
R129 | [2.5  ] | Kiểu lắp ghép bánh răng                                 |            | P:             | Q:             | 
R130 | [2.6  ] | Cấp chính xác  - DIN3965 / ISO1328 |Ra max|v max        |            | P:             | Q:             | 
R131 | [2.7  ] | Hệ số quá tải                                           |            | P:             | Q:             | 
R132 | [2.8  ] | Thời gian làm việc yêu cầu                              |            | P:             | Q:             | 
R133 | [2.9  ] | Hệ số an toàn (tiếp xúc/uốn)                            |            | P:1.60         | Q:             | 
R134 | [2.1  ] | Thiết kế tự động                                        |            | P:             | Q:             | 
R136 | [3    ] | Các thông số của dụng cụ cắt và dạng răng               |            | P:             | Q:             | 
R137 | [3.1  ] | Đường cong của quá trình cắt răng ( Kiểu cắt răng )     |            | P:             | Q:             | 
R138 | [3.2  ] | Chiều cao đầu răng của dụng cụ                          |            | P:1.250        | Q:             | 
R139 | [3.3  ] | Độ hở đầu răng                                          |            | P:1.200        | Q:             | 
R140 | [3.4  ] | Hệ số khuyên dùng cho bán kính chân răng                |            | P:0.150        | Q:             | 
R141 | [3.5  ] | Hệ số của bán kính chân răng                            |            | P:0.380        | Q:             | 
R142 | [3.6  ] | Chamfer of root                                         |            | P:0.000        | Q:             | 
R143 | [3.7  ] | Chamfer of root                                         |            | P:0.000        | Q:             | 
R144 | [3.8  ] | Số răng của BR chủ động / BR bị động                    |            | P:0.000        | Q:             | 
R145 | [3.9  ] | Góc của đường tâm trục                                  |            | P:0.000        | Q:             | 
R146 | [3.10 ] | Pressure angle                                          |            | P:0.1000       | Q:             | 
R147 | [3.3  ] | Góc nghiêng răng cơ sở                                  |            | P:0.2500       | Q:             | 
R148 | [3.12 ] | Hướng của bước răng (BR chủ động)                       |            | P:22           | Q:             | 
R149 | [3.13 ] | Bề rộng của dụng cụ cắt răng đến mặt phẳng của mặt nón (b/Re) |            | P:0.00         | Q:             | 
R150 | [3.14 ] | Bề rộng của dụng cụ cắt răng đến mặt phẳng của mặt nón (b/Re) |            | P:147.0000     | Q:             | 
R151 | [     ] | Module                                                  |            | P:             | Q:             | 
R152 | [     ] | Bề rộng mặt răng / Giá trị khuyên dùng lớn nhất         |            | P:             | Q:             | 
R153 | [     ] | Trọng lượng tương đương của bộ truyền bánh răng         |            | P:             | Q:             | 
R154 | [     ] | Hệ số an toàn nhỏ nhất                                  |            | P:             | Q:             | 
R166 | [4    ] | Thiết kế môđun ( Bước răng) và hình dạng của dụng cụ cắt răng |            | P:             | Q:             | 
R168 | [     ] | Điều chỉnh dụng cụ cắt răng (Dịch chỉnh đầu răng)       |            | P:             | Q:             | 
R169 | [     ] | Phương pháp điều chỉnh                                  |            | P:             | Q:             | 
R170 | [     ] | Giá trị khuyên dùng                                     |            | P:             | Q:             | 
R171 | [     ] | Khe hở răng cho phép (giá trị nhỏ nhất)                 |            | P:             | Q:             | 
R172 | [     ] | Khắc phục khe hở răng ( giá trị nhỏ nhất)               |            | P:             | Q:             | 
R173 | [4.1  ] | Xác định hệ số điều chỉnh đầu răng BR chủ động          |            | P:-55          | Q:             | 
R174 | [4.3  ] | Hệ số điều chỉnh đầu răng của BR chủ động/BR bị động    |            | P:             | Q:             | 
R175 | [4.4  ] | Hệ số điều chỉnh chiều dày răng                         |            | P:             | Q:             | 
R176 | [4.6  ] | Tỷ số tiếp xúc tổng                                     |            | P:             | Q:             | 
R177 | [4.7  ] | Chiều dày răng trên đường kính đỉnh                     |            | P:< 0.7        | Q:             | 
